title,company,location,link
코딩강사 신입/경력 인턴,코딩사이언스학원,인천 부평구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9400017ccbf7975f
기술 인턴 인공지능 응용 연구/개발 인턴,써로마인드로보틱스,서울 관악구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=71c47ac87bb4087e
[개발]위메프패션 백엔드 개발자(정규직),위메프,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=b0e9252f0c2cf6ec
[예비사회적기업] 도시데이터 분석으로 사회적 가치 만들어나갈 인재 찾습니다.,어반스테이션,서울 용산구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9636072f3878d7aa
Client Solutions Engineer,Cover Genius,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=9ec6ee8ffbdef537
SAP Architect,Amazon Web Services Korea LLC,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=1a5cda61b51c21b7
인간중심 지능형 시스템 연구실 시간제 연구원,광주과학기술원,광주 북구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=67503f27b0365593
매칭팀 - 데이터분석가,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=48090bdf1303bd76
[개발]위메프오 서비스 개발총괄(정규직),위메프,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=003c11fc393d77d7
"금융 데이터 분석 엔진, 로보어드바이저 개발자",에스비씨엔,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=649ccf047c868778
교보악사자산운용 QUANT팀,교보악사자산운용,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a24b1ac91024ce54
제조공정Deep Learning/AI 전문가 대그룹계열제조사,대그룹계열제조사,서울특별시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=c2bc15d755c2e44a
솔루션 프론트엔드 개발자,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=273d830a0c62aedd
"인공지능 플랫폼 회사(알파브릿지) 경력직(IT, 관리)",에셋플러스자산운용,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=989c8d5579ea7132
호정솔루션 대전지역 개발팀 신규인력,호정솔루션,대전 유성구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=98aba8d3e3628f1b
BI 운영 그룹 주력계열사,그룹 주력계열사,서울특별시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=e5098c47e3662580
머신러닝 데이터분석가(글로벌 금융사),디에스파트너즈그룹,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=dabb4ac4a8883dd3
경영기획팀(금융혁신TF) 경력직원,신영증권,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8a6fe616b4d92317
데이터 사이언스 전문가 및 머신러닝 전문가,카카오,성남 판교역,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=85929aac498299cc
정산 및 재무서비스 개발자,Nexon,성남 분당구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=2d1342226996073d
"Director, Software Engineering (Coupang Eats)",Coupang,서울,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=a6a4b500fa0340d4
데이터 엔지니어,리디,서울특별시,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=acbc411113b81ae5
데이터분석 전문가 신입·경력·전문연구요원,베가스,서울 강남구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=8bda582040d41076
[해외취업] Sales Application Engineer,Materialise Sdn Bhd,대한민국,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=35f16e65f031d7e9
AI 개발/Data Scientist/시스템 아키텍쳐/빅데이터엔지니어 경력직,신한에이아이,서울 영등포구,https://kr.indeed.com/%EC%B1%84%EC%9A%A9%EB%B3%B4%EA%B8%B0?jk=de44729f90fcae6e
